상호명,주소,업종대분류,업종중분류,업종소분류,위도,경도
계문사,서울특별시 종로구 창신동 455,도매/유통/무역,서적/음반/문구도매,문구용품도매-종합,37.57595,127.01313
양서식당,서울특별시 강서구 내발산동 723,음식,한식,한식/백반/한정식,37.5539189,126.8377194
BHC치킨,서울특별시 양천구 신월동 517-8,음식,닭/오리요리,후라이드/양념치킨,37.52782,126.83692
커피나무,서울특별시 은평구 역촌동 34-18,음식,커피점/카페,커피전문점/카페/다방,37.605,126.91198
목화모텔,서울특별시 서초구 서초동 1601-9,숙박,모텔/여관/여인숙,모텔/여관/여인숙,37.48818,127.01751
커피앤가든,서울특별시 강남구 대치동 985,음식,한식,한식/백반/한정식,37.49882,127.06566
커피깡패연구소,서울특별시 용산구 한강로2가 2-37,음식,커피점/카페,커피전문점/카페/다방,37.53142,126.9685
사랑의김밥,서울특별시 노원구 월계동 776,음식,한식,한식/백반/한정식,37.6289,127.0567
GS25,서울특별시 송파구 가락동 123-17,소매,종합소매점,편의점,37.49672,127.11744
GS25,서울특별시 광진구 구의동 246-3,소매,종합소매점,편의점,37.54417,127.09262
미스터돈,서울특별시 중구 묵정동 25-18,음식,한식,한식/백반/한정식,37.5612,127.00019
숟가락앤젓가락,서울특별시 도봉구 도봉동 601-43,음식,분식,라면김밥분식,37.6826056,127.0425405
아지트,서울특별시 중구 충무로3가 38-22,음식,유흥주점,빠/카페/스탠드빠,37.56217,126.99157
GS25,서울특별시 서초구 방배동 915-5,소매,종합소매점,편의점,37.4798789,126.9939103
GS25,서울특별시 동대문구 휘경동 293-96,소매,종합소매점,편의점,,
GS25역삼기쁨점,서울특별시 강남구 역삼동 640-13,소매,종합소매점,편의점,37.49988,127.03856
GS25보라매타운점,서울특별시 관악구 봉천동 729-24,소매,종합소매점,편의점,37.484665,126.9484961
롯데리아,서울특별시 강서구 공항동 1373,음식,패스트푸드,패스트푸드,37.5556799,126.7931257
CUSK중랑교주유소점,서울특별시 중랑구 중화동 207-22,소매,종합소매점,편의점,37.59755,127.07783
GS25,서울특별시 동작구 상도동 29-37,소매,종합소매점,편의점,37.4988159,126.9441045
움쓰네일,서울특별시 마포구 서교동 486,생활서비스,이/미용/건강,여성미용실,37.5550711,126.9238244
김밥천국,서울특별시 금천구 독산동 291-5,음식,분식,라면김밥분식,37.468399,126.8979571
세븐일레븐합정역본점,서울특별시 마포구 합정동 388-32,소매,종합소매점,편의점,37.5477846,126.9095636
GS25당산하나점,서울특별시 영등포구 당산동2가 37,소매,종합소매점,편의점,37.5212655,126.9001505
이광희한복침구,서울특별시 서초구 서초동 1442-10,소매,의복의류,한복/갈옷/민속옷,37.48818,127.01751
CU,서울특별시 광진구 화양동 23-7,소매,종합소매점,편의점,37.54408,127.06895
장터먹거리,서울특별시 송파구 가락동 87-2,음식,한식,한식/백반/한정식,37.49672,127.11744
